CODE,NAME
C1321,상동
C1322,상1동
C1323,상2동
C1324,상3동
C1325,심곡본1동
C1326,심곡본동
C1327,소사본동
C1328,소사본3동
C1329,범박동
C1330,괴안동
C1331,역곡3동
C1332,송내1동
C1333,송내2동
C1334,성곡동
C1335,원종1동
C1336,원종2동
C1337,고강본동
C1338,고강1동
C1339,오정동
C1340,신흥동
C1341,광명1동
C1342,광명2동
C1343,광명3동
C1344,광명4동
C1345,광명5동
C1346,광명6동
C1347,광명7동
C1348,철산1동
C1349,철산2동
C1350,철산3동
C1351,철산4동
C1352,하안1동
C1353,하안2동
C1354,하안3동
C1355,하안4동
C1356,소하1동
C1357,소하2동
C1358,학온동
C1359,팽성읍
C1360,안중읍
C1361,포승읍
C1362,청북읍
C1363,진위면
C1364,서탄면
C1365,고덕면
C1366,오성면
C1367,현덕면
C1368,중앙동
C1369,서정동
C1370,송탄동
C1371,지산동
C1372,송북동
C1373,신장1동
C1374,신장2동
C1375,신평동
C1376,원평동
C1377,통복동
C1378,비전1동
C1379,비전2동
C1380,세교동
C1381,생연1동
C1382,생연2동
C1383,중앙동
C1384,보산동
C1385,불현동
C1386,송내동
C1387,소요동
C1388,상패동
C1389,일동
C1390,이동
C1391,사동
C1392,사이동
C1393,해양동
C1394,본오1동
C1395,본오2동
C1396,본오3동
C1397,부곡동
C1398,월피동
C1399,성포동
C1400,반월동
C1401,안산동
C1402,와동
C1403,고잔동
C1404,중앙동
C1405,호수동
C1406,원곡동
C1407,백운동
C1408,신길동
C1409,초지동
C1410,선부1동
C1411,선부2동
C1412,선부3동
C1413,대부동
C1414,주교동
C1415,원신동
C1416,흥도동
C1417,성사1동
C1418,성사2동
C1419,효자동
C1420,신도동
C1421,창릉동
C1422,고양동
C1423,관산동
C1424,능곡동
C1425,화정1동
C1426,화정2동
C1427,행주동
C1428,행신1동
C1429,행신2동
C1430,행신3동
C1431,화전동
C1432,대덕동
C1433,식사동
C1434,중산동
C1435,정발산동
C1436,풍산동
C1437,백석1동
C1438,백석2동
C1439,마두1동
C1440,마두2동
C1441,장항1동
C1442,장항2동
C1443,고봉동
C1444,일산1동
C1445,일산2동
C1446,일산3동
C1447,탄현동
C1448,주엽1동
C1449,주엽2동
C1450,대화동
C1451,송포동
C1452,송산동
C1453,중앙동
C1454,갈현동
C1455,별양동
C1456,부림동
C1457,과천동
C1458,문원동
C1459,갈매동
C1460,동구동
C1461,인창동
C1462,교문1동
C1463,교문2동
C1464,수택1동
C1465,수택2동
C1466,수택3동
C1467,와부읍
C1468,진접읍
C1469,화도읍
C1470,진건읍
C1471,오남읍
C1472,별내면
C1473,수동면
C1474,조안면
C1475,퇴계원면
C1476,호평동
C1477,평내동
C1478,금곡동
C1479,양정동
C1480,지금동
C1481,도농동
C1482,별내동
C1483,중앙동
C1484,남촌동
C1485,신장동
C1486,세마동
C1487,초평동
C1488,대원동
C1489,대야동
C1490,신천동
C1491,신현동
C1492,은행동
C1493,매화동
C1494,목감동
C1495,군자동
C1496,월곶동
C1497,정왕본동
C1498,정왕1동
C1499,정왕2동
C1500,정왕3동
C1501,정왕4동
C1502,과림동
C1503,연성동
C1504,장곡동
C1505,능곡동
C1506,군포1동
C1507,군포2동
C1508,산본1동
C1509,산본2동
C1510,금정동
C1511,재궁동
C1512,오금동
C1513,수리동
C1514,궁내동
C1515,대야동
C1516,광정동
C1517,고천동
C1518,부곡동
C1519,오전동
C1520,내손1동
C1521,내손2동
C1522,청계동
C1523,천현동
C1524,신장1동
C1525,신장2동
C1526,덕풍1동
C1527,덕풍2동
C1528,덕풍3동
C1529,풍산동
C1530,감북동
C1531,위례동
C1532,춘궁동
C1533,초이동
C1534,미사1동
